id,legacyId,firstName,lastName,avgRating,numRatings,wouldTakeAgainPercent,avgDifficulty,department
VGVhY2hlci0zMTMwMzQ2,3130346,Darren,Hamilton,1.0,1,0.0,3.0,Music
VGVhY2hlci0zMDgyMzEz,3082313,Chen,Ying,2.7,18,33.3333,2.2,Engineering
VGVhY2hlci0zMDQ4MzMw,3048330,Melanie,Mascarenhas,4.5,17,94.1176,3.1,Psychology
VGVhY2hlci0yODQ4NjM4,2848638,Samantha,Chang,4.8,6,100.0,1.5,Art History
VGVhY2hlci0zMTU0ODQy,3154842,James,Toma,5.0,1,100.0,2.0,History
VGVhY2hlci0yOTI0Mjg0,2924284,Nicolas,Grisouard,4.0,27,77.7778,3.0,Physics
VGVhY2hlci0yOTkxNzY2,2991766,Jonathan ,Bayer,4.9,14,100.0,2.4,History
VGVhY2hlci0yOTY2ODk5,2966899,Mia,Radovanovic,3.7,9,77.7778,4.0,Psychology
VGVhY2hlci0yOTE3NTU1,2917555,Barbara,Ferguson,3.8,6,83.3333,3.0,Women's Studies
VGVhY2hlci0zMTE4OTI2,3118926,Yongquan (George),Huang,5.0,5,100.0,1.8,Mathematics
VGVhY2hlci0yNDUzNTE4,2453518,Serene,Tan,2.1,7,28.5714,3.9,Geography
VGVhY2hlci0zMDUxMzE4,3051318,Jennifer,DeSilva,5.0,5,100.0,3.4,History
VGVhY2hlci0zMDgzMDQ5,3083049,Patricia,Sanchez,3.7,3,66.6667,3.7,Psychology
VGVhY2hlci0zMTIzNDA1,3123405,Gwen,Bradford,5.0,2,100.0,2.0,Philosophy
VGVhY2hlci0yODQ5Mjg5,2849289,Ronald,Charles,2.5,2,50.0,2.5,Religion
VGVhY2hlci0yOTcwMjk2,2970296,Jacob,Dvorak,5.0,1,100.0,1.0,Classics
VGVhY2hlci0zMTM1MTEy,3135112,Grant,Wiedenfeld,1.0,1,0.0,3.0,Humanities
VGVhY2hlci0xMTg3Njk3,1187697,Bernardo,Galvao-Sousa,2.2,165,22.6027,4.2,Mathematics
VGVhY2hlci0zMTE3Nzk5,3117799,Kyle ,Bower,4.4,19,89.4737,2.8,Mathematics
VGVhY2hlci0yOTQ2MTQ1,2946145,Joseph,Dattilo ,2.4,15,40.0,4.4,Political Science
VGVhY2hlci0zMDY4MzM2,3068336,Vanessa,McCarthy,3.8,4,75.0,2.0,History
VGVhY2hlci0zMDc3ODY3,3077867,Valeria,Cruz,5.0,3,100.0,2.3,Languages
VGVhY2hlci0zMTIzNTg5,3123589,Noel,Brett,3.0,2,50.0,4.0,Design
VGVhY2hlci0zMTUxMTY4,3151168,Yi,Shan,4.0,1,100.0,3.0,Mathematics
VGVhY2hlci0yOTUzMTE5,2953119,sheri,allain,4.6,20,90.0,2.5,Marketing
VGVhY2hlci0yMzU0NjQ0,2354644,Fabian,Parsch,4.7,24,91.6667,2.9,Mathematics
VGVhY2hlci0zMDU0NjY5,3054669,Constance,de Font-Reaulx,2.9,11,54.5455,3.2,History
VGVhY2hlci0zMTI5Mjk1,3129295,Aleksandr,Popkovich,4.0,2,100.0,1.5,Mathematics
VGVhY2hlci0yOTIzMzkx,2923391,Afiny ,Akdemir,2.8,22,50.0,3.7,Mathematics
VGVhY2hlci0zMDM2Nzc2,3036776,Paul,He,4.8,15,100.0,2.4,Computer Science
VGVhY2hlci0zMTA5NzIx,3109721,Ashley,Waggoner Denton,3.3,12,58.3333,3.4,Psychology
VGVhY2hlci0zMTIyNTU2,3122556,Susanna,Bejar ,1.3,9,0.0,4.4,Languages
VGVhY2hlci0zMDMwOTI0,3030924,Hannah,Gans,3.0,61,57.377,3.3,Psychology
VGVhY2hlci0yOTQ0NjEy,2944612,Wenyu ,Pan ,2.9,9,33.3333,3.6,Mathematics
VGVhY2hlci0zMTU1NzQz,3155743,Stephanie,Azzarello,2.6,7,28.5714,4.0,Art History
VGVhY2hlci0zMDgzNzUz,3083753,Donna,Schatz ,1.0,6,0.0,4.8,Environment
VGVhY2hlci0yOTY2MDcw,2966070,Tommaso ,Pavone,5.0,6,100.0,2.0,Political Science
VGVhY2hlci0zMTEzMDgy,3113082,Samarendra,Dash,3.0,2,50.0,1.5,Computer Science
VGVhY2hlci0yOTQ2Njg1,2946685,Yukiko,Kobayashi Lui,3.0,2,50.0,3.5,Law
VGVhY2hlci0zMTM0NDcx,3134471,Larissa ,Lai,5.0,1,100.0,2.0,Pacific & Asian Studies
VGVhY2hlci0yNjgwMTM1,2680135,Joseph,Williams,1.7,23,13.0435,2.4,Psychology
VGVhY2hlci0yOTUzMzg5,2953389,Loren,Brandt,1.7,18,27.7778,4.3,Economics
VGVhY2hlci0yODU4Mzc0,2858374,Maria,Cichosz,5.0,9,100.0,2.7,Humanities
VGVhY2hlci0yOTYzNjk0,2963694,Paul,Gooch,4.2,9,77.7778,3.4,Philosophy
VGVhY2hlci0zMDg4NzQ1,3088745,Jorge,Cruz Chapital,4.8,8,100.0,3.1,Mathematics
VGVhY2hlci0zMTA1MzAz,3105303,Tahir,Sharaan,3.5,8,62.5,3.0,Physics
VGVhY2hlci0zMDY2ODA3,3066807,Ignacio ,Aitken ,2.9,7,42.8571,3.0,Geography
VGVhY2hlci0yOTAxNTU1,2901555,Shirley,Yeung,4.2,6,66.6667,2.8,Anthropology
VGVhY2hlci0zMTU2NTUx,3156551,Samuel,Delage,2.0,1,0.0,4.0,Biology
VGVhY2hlci0yOTEzMDU3,2913057,Naijin,Li,4.2,14,78.5714,2.1,Biology
VGVhY2hlci0yOTkwNDEy,2990412,Joanna,Pepin,3.3,11,45.4545,3.3,Sociology
VGVhY2hlci0yOTE0ODgw,2914880,Andres,Kasekamp,2.3,8,25.0,3.5,History
VGVhY2hlci0zMTE1NDIy,3115422,Velez-Villegas,Juan-Manuel,2.3,6,33.3333,2.5,Environment
VGVhY2hlci0zMTA4NjI1,3108625,Katerina,Apokatanidis,3.2,5,60.0,3.2,Classics
VGVhY2hlci0yNDkwMzQy,2490342,Daniel,Milway,1.7,20,15.0,4.2,Languages
VGVhY2hlci0zMDkyNDgx,3092481,Patricia,Mockler,4.5,10,88.8889,1.8,Political Science
VGVhY2hlci0zMDM3Njkz,3037693,Caitlin,Cunningham,4.3,4,75.0,3.8,Geography
VGVhY2hlci0yOTMxNTY1,2931565,Akshay,Bapat,1.2,17,5.8824,4.5,Computer Science
VGVhY2hlci0yMjcxMDUy,2271052,Shawn,Micallef,3.8,11,72.7273,2.0,Journalism
VGVhY2hlci0yOTYwNDc5,2960479,Barbara,Simões,4.6,10,90.0,3.1,English
VGVhY2hlci0yOTE1OTcx,2915971,Shuofeng,Xu,5.0,9,100.0,2.8,Mathematics
VGVhY2hlci0zMTU2NTAy,3156502,Vera ,Khovanskaya,1.0,1,0.0,4.0,Information Science
VGVhY2hlci0yMjE3MTQ1,2217145,Sophie,Rousseaux,4.9,23,100.0,2.9,Chemistry
VGVhY2hlci0zMDQ4Nzg5,3048789,Debanjan ,Borthakur,4.9,19,100.0,2.7,Psychology
VGVhY2hlci0zMTI4MzM5,3128339,Pierre,Marty,1.1,13,0.0,4.7,Art History
VGVhY2hlci0zMTE3MjQ1,3117245,Fabio,Robibaro,5.0,13,100.0,2.7,Sociology
VGVhY2hlci0zMTA3MDI4,3107028,Frances,O'Shaughnessy,5.0,4,100.0,2.5,Women's Studies
VGVhY2hlci0yOTc4ODAy,2978802,David,Lindell,4.5,4,100.0,4.0,Computer Science
VGVhY2hlci0zMDgzODE2,3083816,Dror,Shvadron,4.0,4,75.0,2.8,Business
VGVhY2hlci0zMTUwODQw,3150840,Aidan,Lindberg,4.0,2,50.0,4.5,Mathematics
VGVhY2hlci0zMTQ5Mjkz,3149293,Bruno Rafael,Vera de Morais e Silva,5.0,2,100.0,3.0,Information Science
VGVhY2hlci0zMDg3Nzk1,3087795,Fabio,Pusateri,3.0,2,50.0,3.0,Mathematics
